source_segment,lead_origin,ad_presence,source_order,current_raw_inbound_records,current_valid_leads,current_assigned_leads,current_active_leads,current_stage_qualified_leads,current_valid_marketing_expected_lead_value,current_valid_lead_share,current_assigned_lead_share,current_active_lead_share,current_stage_qualified_lead_share,current_valid_expected_value_share,baseline_raw_inbound_records,baseline_valid_leads,baseline_assigned_leads,baseline_active_leads,baseline_stage_qualified_leads,baseline_valid_marketing_expected_lead_value,baseline_valid_lead_share,baseline_assigned_lead_share,baseline_active_lead_share,baseline_stage_qualified_lead_share,baseline_valid_expected_value_share,comparison_label,delta_raw_inbound_records,pct_delta_raw_inbound_records,delta_valid_leads,pct_delta_valid_leads,delta_assigned_leads,pct_delta_assigned_leads,delta_active_leads,pct_delta_active_leads,delta_stage_qualified_leads,pct_delta_stage_qualified_leads,delta_valid_marketing_expected_lead_value,pct_delta_valid_marketing_expected_lead_value,delta_valid_lead_share,pct_delta_valid_lead_share,delta_assigned_lead_share,pct_delta_assigned_lead_share,delta_active_lead_share,pct_delta_active_lead_share,delta_stage_qualified_lead_share,pct_delta_stage_qualified_lead_share,delta_valid_expected_value_share,pct_delta_valid_expected_value_share
allamericanspeakers.com / non-ad,allamericanspeakers.com,non-ad,1,1931.0,380,304,70,124,195696.58,0.4408352668213457,0.4399421128798842,0.4605263157894737,0.3924050632911392,0.4603850664942219,3888.0,346,293,5,144,171301.22,0.3931818181818182,0.3891102257636122,0.625,0.3538083538083538,0.41815687186126743,prior_20_days,-1957.0,-0.5033436213991769,34,0.09826589595375723,11,0.03754266211604085,65,13.0,-20,-0.13888888888888884,24395.359999999986,0.14241206221415115,0.04765344863952753,0.12119952255139954,0.05083188711627201,0.13063621501212563,-0.16447368421052633,-0.26315789473684215,0.03859670948278543,0.10908931082981721,0.04222819463295446,0.10098648969940771
aaespeakers.com / non-ad,aaespeakers.com,non-ad,2,513.0,215,173,38,91,107924.14,0.2494199535962877,0.2503617945007236,0.25,0.2879746835443038,0.2538964266530959,526.0,251,216,1,119,116673.76,0.2852272727272727,0.2868525896414343,0.125,0.29238329238329236,0.2848078636561507,prior_20_days,-13.0,-0.024714828897338448,-36,-0.14342629482071712,-43,-0.19907407407407407,37,37.0,-28,-0.23529411764705888,-8749.619999999995,-0.07499218333239621,-0.035807319130985005,-0.12553960492138172,-0.036490795140710686,-0.12721096639331086,0.125,1.0,-0.004408608838988581,-0.015078183172002935,-0.030911437003054765,-0.10853435226905894
aaespeakers.com / ad,aaespeakers.com,ad,3,188.0,124,110,23,56,64966.76,0.14385150812064965,0.15918958031837915,0.1513157894736842,0.17721518987341772,0.1528372448946944,193.0,118,104,1,70,59543.8,0.1340909090909091,0.13811420982735723,0.125,0.171990171990172,0.14535009818805106,prior_20_days,-5.0,-0.025906735751295318,6,0.05084745762711873,6,0.05769230769230771,22,22.0,-14,-0.19999999999999996,5422.959999999999,0.09107514132453765,0.009760599029740552,0.07279090801840415,0.021075370491021927,0.1525937882667261,0.02631578947368421,0.21052631578947367,0.005225017883245725,0.030379746835442978,0.007487146706643355,0.05151112245522271
allamericanspeakers.com / ad,allamericanspeakers.com,ad,4,211.0,80,58,15,25,43501.77,0.09280742459396751,0.08393632416787265,0.09868421052631579,0.07911392405063292,0.10233988388589288,242.0,111,90,1,48,52753.14,0.12613636363636363,0.11952191235059761,0.125,0.11793611793611794,0.1287736771708894,prior_20_days,-31.0,-0.12809917355371903,-31,-0.2792792792792793,-32,-0.3555555555555555,14,14.0,-23,-0.47916666666666663,-9251.370000000003,-0.17537098265619833,-0.033328939042396116,-0.26422942664241966,-0.03558558818272496,-0.2977327544621322,-0.02631578947368421,-0.21052631578947367,-0.038822193885485023,-0.32917985232067504,-0.02643379328499651,-0.20527326597902062
aaemusic.com / non-ad,aaemusic.com,non-ad,5,403.0,24,12,2,3,0.0,0.027842227378190254,0.017366136034732273,0.013157894736842105,0.00949367088607595,0.0,363.0,22,21,0,10,0.0,0.025,0.027888446215139442,0.0,0.02457002457002457,0.0,prior_20_days,40.0,0.11019283746556474,2,0.09090909090909083,-9,-0.4285714285714286,2,0.0,-7,-0.7,0.0,0.0,0.0028422273781902527,0.11368909512761016,-0.010522310180407168,-0.37729997932602843,0.013157894736842105,0.0,-0.015076353683948619,-0.6136075949367088,0.0,0.0
phone_lead / non-ad,phone_lead,non-ad,6,19.0,19,16,3,6,10257.5,0.022041763341067284,0.023154848046309694,0.019736842105263157,0.0189873417721519,0.024131233256935208,15.0,14,12,0,3,7587.83,0.015909090909090907,0.01593625498007968,0.0,0.007371007371007371,0.018522362286824818,prior_20_days,4.0,0.2666666666666666,5,0.3571428571428572,4,0.33333333333333326,3,0.0,3,1.0,2669.67,0.3518357685926017,0.006132672431976377,0.3854822671528009,0.007218593066230013,0.4529667149059333,0.019736842105263157,0.0,0.011616334401144528,1.5759493670886076,0.00560887097011039,0.3028161788035022
Unknown / non-ad,Unknown,non-ad,7,12.0,12,12,0,8,0.0,0.013921113689095127,0.017366136034732273,0.0,0.02531645569620253,0.0,10.0,10,10,0,9,0.0,0.011363636363636364,0.013280212483399735,0.0,0.022113022113022112,0.0,prior_20_days,2.0,0.19999999999999996,2,0.19999999999999996,2,0.19999999999999996,0,0.0,-1,-0.11111111111111116,0.0,0.0,0.002557477325458763,0.22505800464037118,0.004085923551332539,0.3076700434153401,0.0,0.0,0.003203433583180419,0.14486638537271457,0.0,0.0
speakersearch.com / non-ad,speakersearch.com,non-ad,8,19.0,7,5,1,3,2507.08,0.008120649651972157,0.00723589001447178,0.006578947368421052,0.00949367088607595,0.005898019232151803,13.0,3,2,0,1,981.4200000000001,0.003409090909090909,0.0026560424966799467,0.0,0.002457002457002457,0.0023957069143003486,prior_20_days,6.0,0.46153846153846145,4,1.3333333333333335,3,1.5,1,0.0,2,2.0,1525.6599999999999,1.5545434166819505,0.004711558742881249,1.3820572312451662,0.0045798475177918335,1.7243125904486254,0.006578947368421052,0.0,0.007036668429073493,2.8639240506329116,0.0035023123178514544,1.4619118461217462
speakersearch.com / ad,speakersearch.com,ad,9,7.0,1,1,0,0,217.69,0.001160092807424594,0.001447178002894356,0.0,0.0,0.0005121255830077724,10.0,3,3,0,2,816.62,0.003409090909090909,0.00398406374501992,0.0,0.004914004914004914,0.001993419922516303,prior_20_days,-3.0,-0.30000000000000004,-2,-0.6666666666666667,-2,-0.6666666666666667,0,0.0,-2,-1.0,-598.9300000000001,-0.7334255835027308,-0.002248998101666315,-0.6597061098221191,-0.002536885742125564,-0.6367583212735166,0.0,0.0,-0.004914004914004914,-1.0,-0.0014812943395085309,-0.743091971128033
speakerpedia.com / non-ad,Unknown,Unknown,9999,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2,2,0,1,0.0,0.0022727272727272726,0.0026560424966799467,0.0,0.002457002457002457,0.0,prior_20_days,-6.0,-1.0,-2,-1.0,-2,-1.0,0,0.0,-1,-1.0,0.0,0.0,-0.0022727272727272726,-1.0,-0.0026560424966799467,-1.0,0.0,0.0,-0.002457002457002457,-1.0,0.0,0.0
