comparison,baseline_period,current_raw_inbound_records,baseline_raw_inbound_records,delta_raw_inbound_records,pct_delta_raw_inbound_records,current_valid_leads,baseline_valid_leads,delta_valid_leads,pct_delta_valid_leads,current_assigned_leads,baseline_assigned_leads,delta_assigned_leads,pct_delta_assigned_leads,current_active_leads,baseline_active_leads,delta_active_leads,pct_delta_active_leads,current_stage_qualified_leads,baseline_stage_qualified_leads,delta_stage_qualified_leads,pct_delta_stage_qualified_leads,current_stage_or_booked_qualified_leads,baseline_stage_or_booked_qualified_leads,delta_stage_or_booked_qualified_leads,pct_delta_stage_or_booked_qualified_leads,current_valid_marketing_expected_lead_value,baseline_valid_marketing_expected_lead_value,delta_valid_marketing_expected_lead_value,pct_delta_valid_marketing_expected_lead_value,current_avg_expected_value_per_valid_lead,baseline_avg_expected_value_per_valid_lead,delta_avg_expected_value_per_valid_lead,pct_delta_avg_expected_value_per_valid_lead
Current vs Prior 20 days Apr 11-30 2026,Prior 20 days Apr 11-30 2026,3303,5266,-1963,-0.3727687048993543,862,880,-18,-0.020454545454545503,691,753,-62,-0.08233731739707839,152,8,144,18.0,316,407,-91,-0.2235872235872236,318,407,-89,-0.21867321867321865,425071.52,409657.79,15413.73000000004,0.03762586816669611,493.12241299303946,465.5202159090909,27.602197083948568,0.05929322968293782
Current vs Last year May 1-20 2025,Last year May 1-20 2025,3303,2414,889,0.36826843413421706,862,747,115,0.15394912985274423,691,622,69,0.11093247588424426,152,0,152,0.0,316,385,-69,-0.17922077922077917,318,385,-67,-0.17402597402597397,425071.52,369348.13,55723.390000000014,0.15086956037925514,493.12241299303946,494.4419410977242,-1.319528104684764,-0.002668722037930782
