lead_source,booked_2025,booked_2026,booked_delta,booked_yoy_pct,gross_fee_2025,gross_fee_2026,gross_fee_delta,gross_fee_yoy_pct,commission_fee_2025,commission_fee_2026,commission_fee_delta,commission_fee_yoy_pct,avg_commission_2025,avg_commission_2026,avg_gross_2025,avg_gross_2026
inbound,79,79,0,0.0,3302000.000000000,2018600.000000000,-1283400.000000000,-0.3886735311932162325863113265,860202.750000000,509025.000000000,-351177.750000000,-0.4082499736254040108567427853,10888.64240506329113924050633,6443.354430379746835443037975,41797.46835443037974683544304,25551.89873417721518987341772
repeat,68,75,7,0.10294117647058823,2389005.000000000,3067400.000000000,678395.000000000,0.2839655002814979457975182136,676500.000000000,752285.000000000,75785.000000000,0.1120251293422025129342202513,9948.529411764705882352941176,10030.46666666666666666666667,35132.42647058823529411764706,40898.66666666666666666666667
