lead_source,booked__apr_2026,booked__mar_2026,booked__apr_2025,booked__vs_lm,booked__vs_ly,gross_fee__apr_2026,gross_fee__mar_2026,gross_fee__apr_2025,gross_fee__vs_lm,gross_fee__vs_ly,commission_fee__apr_2026,commission_fee__mar_2026,commission_fee__apr_2025,commission_fee__vs_lm,commission_fee__vs_ly
repeat,80.0,87.0,73.0,-7.0,7.0,3447400.0,3662349.0,2463505.0,-214949.0,983895.0,829285.0,938610.64,697137.74,-109325.64000000001,132147.26
inbound,88.0,110.0,83.0,-22.0,5.0,2202100.0,3343248.58,3367000.0,-1141148.58,-1164900.0,551825.0,812747.19,879202.75,-260922.18999999994,-327377.75
TOTAL,168.0,197.0,156.0,-29.0,12.0,5649500.0,7005597.58,5830505.0,-1356097.58,-181005.0,1381110.0,1751357.83,1576340.49,-370247.82999999996,-195230.49
